603833	欧派家居	603833	-
603838	广东四通	603838	-
603848	广东好太太科技	603848	-
603861	广州白云电器设备	603861	-
603863	广东松炀再生资源	603863	-
603882	广州金域医学检验	603882	-
603898	广州好莱客创意家居	603898	-
603920	广东世运电路科技	603920	-
603936	博敏电子	603936	-
603978	深圳市新星轻合金材料	603978	-
603983	广东丸美生物技术	603983	-
603991	深圳至正高分子材料	603991	-
605499	东鹏饮料(集团)	605499	-
688007	深圳光峰科技	688007	-
688020	广州方邦电子	688020	-
688025	深圳市杰普特光电	688025	-
688026	广州洁特生物过滤	688026	-
688036	深圳传音控股	688036	-
688045	深圳市必易微电子	688045	-
688049	炬芯科技	688049	-
688083	广州中望龙腾软件	688083	-
688090	广州瑞松智能科技	688090	-
688112	深圳市鼎阳科技	688112	-
688114	深圳华大智造科技	688114	-
688115	广州思林杰科技	688115	-
688125	广东安达智能装备	688125	-
688128	中国电器科学研究院	688128	-
688132	邦彦技术	688132	-
688135	广东利扬芯片测试	688135	-
688138	深圳清溢光电	688138	-
688148	广东芳源新材料	688148	-
688159	深圳市有方科技	688159	-
688171	广东纬德信息科技	688171	-
688173	希荻微电子	688173	-
688175	珠海高凌信息科技	688175	-
688177	百奥泰生物制药	688177	-
688183	生益电子	688183	-
688208	深圳市道通科技	688208	-
688209	深圳英集芯科技	688209	-
688210	深圳市泛海统联精密制造	688210	-
688216	气派科技	688216	-
688227	广州市品高软件	688227	-
688228	开普云信息科技	688228	-
688248	南方电网电力科技	688248	-
688252	深圳天德钰科技	688252	-
688268	广东华特气体	688268	-
688279	峰岹科技(深圳)	688279	-
688312	深圳市燕麦科技	688312	-
688318	深圳市财富趋势科技	688318	-
688321	深圳微芯生物科技	688321	-
688322	奥比中光科技	688322	-
688323	深圳瑞华泰薄膜科技	688323	-
688325	广东赛微微电子	688325	-
688327	云从科技	688327	-
688328	深圳市深科达智能装备	688328	-
688332	深圳市中科蓝讯科技	688332	-
688343	深圳云天励飞技术	688343	-
688345	广东博力威科技	688345	-
688359	广州三孚新材料科技	688359	-
688361	深圳中科飞测科技	688361	-
688380	中微半导体(深圳)	688380	-
688383	深圳新益昌科技	688383	-
688388	广东嘉元科技	688388	-
688389	深圳普门科技	688389	-
688393	广州安必平医药科技	688393	-
688395	深圳市正弦电气	688395	-
688401	深圳市路维光电	688401	-
688418	深圳震有科技	688418	-
688499	广东利元亨智能装备	688499	-
688512	广州慧智微电子	688512	-
688518	深圳市联赢激光	688518	-
688522	广东纳睿雷达科技	688522	-
688525	深圳佰维存储科技	688525	-
688559	海目星激光科技	688559	-
688575	深圳市亚辉龙生物科技	688575	-
688589	深圳市力合微电子	688589	-
688595	芯海科技(深圳)	688595	-
688603	广东天承科技	688603	-
688609	广东九联科技	688609	-
688612	深圳威迈斯新能源	688612	-
688617	深圳惠泰医疗器械	688617	-
688618	深圳市三旺通信	688618	-
688620	广州安凯微电子	688620	-
688622	广州禾信仪器	688622	-
688625	呈和科技	688625	-
688627	深圳精智达技术	688627	-
688628	优利德科技(中国)	688628	-
688638	深圳市誉辰智能装备	688638	-
688655	深圳市迅捷兴科技	688655	-
688662	广东富信科技	688662	-
688668	东莞市鼎通精密科技	688668	-
688669	广东聚石化学	688669	-
688683	广东莱尔新材料科技	688683	-
688686	广东奥普特科技	688686	-
688699	深圳市明微电子	688699	-
688772	珠海冠宇电池	688772	-
688788	深圳市科思科技	688788	-
688793	深圳市倍轻松科技	688793	-
600236	广西桂冠电力	600236	-
600249	柳州两面针	600249	-
600252	广西梧州中恒	600252	-
600301	广西华锡有色金属	600301	-
600310	广西能源	600310	-
600368	广西五洲交通	600368	-
600423	柳州化工	600423	-
600538	北海国发川山生物	600538	-
600556	天下秀数字科技(集团)	600556	-
600712	南宁百货大楼	600712	-
600936	广西广播电视信息网络	600936	-
601003	柳州钢铁	601003	-
601368	广西绿城水务	601368	-
601996	广西丰林木业	601996	-
603166	桂林福达	603166	-
603368	广西柳药	603368	-
603869	新智认知数字科技	603869	-
600112	贵州长征天成控股	600112	-
600227	贵州赤天化	600227	-
600367	贵州红星发展	600367	-
600395	贵州盘江精煤	600395	-
600519	贵州茅台酒	600519	-
600523	贵州贵航汽车零部件	600523	-
600594	贵州益佰制药	600594	-
600610	贵州中毅达	600610	900906
600765	中航重机	600765	-
600903	贵州燃气	600903	-
600992	贵州钢绳	600992	-
600996	贵州省广播电视信息网络	600996	-
601997	贵阳银行	601997	-
603058	贵州永吉印务	603058	-
603439	贵州三力制药	603439	-
603458	贵州省交通规划勘察设计研究院	603458	-
688239	贵州航宇科技发展	688239	-
688439	贵州振华风光半导体	688439	-
688707	贵州振华新材料	688707	-
600221	海南航空控股	600221	900945
600238	海南椰岛(集团)	600238	-
600259	广晟有色金属	600259	-
600515	海南机场设施	600515	-
600759	洲际油气	600759	-
601118	海南天然橡胶产业	601118	-
601969	海南矿业	601969	-
603069	海南海汽运输	603069	-
605199	海南葫芦娃药业	605199	-
688676	海南金盘智能科技	688676	-
600135	乐凯胶片	600135	-
600149	廊坊发展	600149	-
600230	沧州大化	600230	-
600340	华夏幸福基业	600340	-
600409	唐山三友化工	600409	-
600480	凌云工业	600480	-
600482	中国船舶重工集团动力	600482	-
600550	保定天威保变电气	600550	-
